,Asset No,NAV_x,NAV_y
758,413371,273.84,261.69
759,413372,273.84,261.69
760,413373,273.84,261.69
761,413374,421.36,402.68
762,413375,421.36,402.68
763,413376,147.46,140.92
764,413377,147.46,140.92
765,413378,273.84,261.69
766,413379,273.84,261.69
767,413380,273.84,261.69
768,413381,273.84,261.69
769,413382,6472.92,6185.85
770,413383,6472.92,6185.85
771,413384,4136.58,3953.13
772,413385,4136.58,3953.13
773,413386,4375.92,4181.85
774,413387,4375.92,4181.85
775,413388,9810.92,9375.82
776,413389,9810.92,9375.82
777,413390,4073.36,3892.71
778,413391,4073.36,3892.71
779,413392,2298.08,2196.16
780,413393,2298.08,2196.16
781,413394,1585.72,1515.4
782,413395,1585.72,1515.4
783,413396,1608.68,1537.34
784,413397,1608.68,1537.34
785,413398,3667.38,3504.74
786,413399,3667.38,3504.74
787,413400,3667.38,3504.74
788,413401,24099.22,23030.44
789,413402,24099.22,23030.44
790,413403,1363.54,1303.07
791,413404,1363.54,1303.07
792,413405,1149.02,1098.06
793,413406,1149.02,1098.06
794,413407,1149.02,1098.06
795,413408,1149.02,1098.06
796,413409,1149.02,1098.06
797,413410,1149.02,1098.06
800,413413,1551.22,1482.43
801,413414,1551.22,1482.43
802,413415,1551.22,1482.43
838,435650,3115.92,2971.54
840,435652,3770.43,3595.72
841,435653,870.94,830.58
842,435654,2932.58,2796.69
844,435656,17065.85,16275.05
856,435692,1225.09,1168.32
857,435693,1225.09,1168.32
858,435694,1225.09,1168.32
891,457644,9572.45,6302.59
892,468691,761.02,735.14
893,468692,761.02,735.14
894,468693,761.02,735.14
895,468694,761.02,735.14
896,468695,761.02,735.14
897,468696,761.02,735.14
898,468697,761.02,735.14
899,468698,761.02,735.14
900,468699,761.02,735.14
901,468700,761.02,735.14
902,468701,761.02,735.14
903,468702,761.02,735.14
904,468703,761.02,735.14
905,468704,761.02,735.14
906,468705,761.02,735.14
907,468706,761.02,735.14
908,468707,761.02,735.14
909,468708,761.02,735.14
910,468709,761.02,735.14
911,468710,761.02,735.14
912,468711,761.02,735.14
913,468712,761.02,735.14
914,468713,761.02,735.14
915,468714,761.02,735.14
916,468715,761.02,735.14
917,468716,761.02,735.14
918,468717,761.02,735.14
919,468718,761.02,735.14
920,468719,761.02,735.14
921,468720,761.02,735.14
922,468721,761.02,735.14
923,468722,761.02,735.14
924,468723,761.02,735.14
925,468724,761.02,735.14
926,468725,761.02,735.14
927,468726,761.02,735.14
928,468727,761.02,735.14
929,468728,761.12,735.24
930,479696,2389.69,0.0
931,479697,2796.98,2701.86
932,479698,2796.98,2701.86
933,486702,3848.11,3729.21
934,512698,104951.2,101893.66
935,512699,26004.49,25246.9
936,518706,34667.45,34430.29
937,518707,34667.45,34430.29
938,518708,11223.46,11146.68
939,518709,221632.96,220136.88
940,518710,104688.1,103971.94
941,533691,28251.1,27473.32
942,548691,13447.11,12587.6
943,561691,21367.3,20154.14
944,561692,3717.82,3506.74
945,569691,18620.3,18178.66
946,585691,61098.59,59773.15
1776,218645,531.47,260.62
1818,223645,540.05,356.58
1819,223646,78.34,51.74
1820,223647,41.23,27.23
1821,223648,120.45,79.55
1822,223649,1113.78,735.39
1823,223650,89.97,59.39
1824,223651,27.01,17.84
1825,223652,27.01,17.84
1826,223653,27.01,17.84
1827,223654,27.01,17.84
1828,223655,22.52,14.88
1829,223656,22.52,14.88
1830,223657,22.52,14.88
1831,223658,22.52,14.88
1832,223659,69.35,45.8
1833,223660,69.35,45.8
1834,223661,69.35,45.8
1835,223662,69.35,45.8
1836,223663,69.35,45.8
1837,223664,69.35,45.8
1838,223665,69.35,45.8
1839,223666,69.35,45.8
1840,223667,69.35,45.8
1841,223668,69.35,45.8
1842,223669,69.35,45.8
1843,223670,69.35,45.8
1844,223671,69.35,45.8
1845,223672,69.35,45.8
1846,223673,69.35,45.8
1847,223674,69.35,45.8
1848,223675,69.35,45.8
1849,223676,69.35,45.8
1850,223677,69.35,45.8
1851,223678,69.35,45.8
1852,223679,69.35,45.8
1853,223680,69.35,45.8
1854,223681,69.35,45.8
1855,223682,69.35,45.8
1856,223683,69.35,45.8
1857,223684,69.35,45.8
1858,223685,69.35,45.8
1859,223686,69.35,45.8
1860,223687,69.35,45.8
1861,223688,69.35,45.8
1862,223689,69.35,45.8
1863,223690,69.35,45.8
1864,223691,69.35,45.8
1865,223692,69.35,45.8
1866,223693,69.35,45.8
1867,223694,69.35,45.8
1868,223695,69.35,45.8
1869,223696,69.35,45.8
1870,223697,69.35,45.8
1871,223698,69.35,45.8
1872,223699,69.35,45.8
1873,223700,69.35,45.8
1874,223701,69.35,45.8
1875,223702,69.35,45.8
1876,223703,69.35,45.8
1877,223704,69.35,45.8
1878,223705,69.35,45.8
1879,223706,69.35,45.8
1880,223707,69.35,45.8
1881,223708,69.35,45.8
1882,228644,11799.99,7791.22
1888,257645,580.49,481.88
1969,292644,1359.99,1082.77
2166,365647,10378.83,9755.3
2175,384644,158579.72,150494.24
2219,400653,75652.55,56217.39
2430,441644,1944.16,1280.05
2431,441645,13242.35,6381.74
2432,441646,194.77,93.87
2434,458645,710.38,342.34
2435,458646,991.82,737.03
2436,458647,347.68,258.36
2437,458648,1600.09,1189.02
2438,458649,461.18,342.7
2439,458650,448.55,295.33
2440,458651,448.55,295.33
2441,458652,448.55,295.33
2442,458653,448.55,295.33
2443,458654,448.55,295.33
2444,458655,448.55,295.33
2445,458656,448.55,295.33
2446,458657,448.55,295.33
2447,458658,448.55,295.33
2448,458659,448.55,295.33
2449,458660,448.55,295.33
2450,458661,448.55,295.33
2451,458662,448.55,295.33
2452,458663,448.55,295.33
2453,458664,448.55,295.33
2454,458665,448.55,295.33
2455,458666,448.55,295.33
2456,458667,448.55,295.33
2457,458668,448.55,295.33
2458,458669,448.55,295.33
2459,458670,448.55,295.33
2460,458671,448.55,295.33
2461,458672,448.55,295.33
2462,458673,448.55,295.33
2463,458674,448.55,295.33
2464,458675,448.55,295.33
2465,458676,448.55,295.33
2466,458677,448.55,295.33
2467,458678,448.55,295.33
2468,458679,448.55,295.33
2469,458680,310.83,204.67
2470,458681,310.83,204.67
2471,458682,310.83,204.67
2472,458683,310.83,204.67
2473,458684,310.83,204.67
2474,458685,310.83,204.67
2475,458686,310.83,204.67
2476,458687,310.83,204.67
2477,458688,310.83,204.67
2478,458689,310.83,204.67
2479,458690,310.83,204.67
2480,458691,310.83,204.67
2481,458692,310.83,204.67
2482,458693,310.83,204.67
2483,458694,310.83,204.67
2484,458695,310.83,204.67
2485,458696,310.83,204.67
2486,458697,310.83,204.67
2487,458698,310.83,204.67
2488,458699,310.83,204.67
2489,458700,46.8,30.83
2490,458701,46.8,30.83
2491,458702,46.8,30.83
2492,458703,46.8,30.83
2493,458704,46.8,30.83
2494,458705,46.8,30.83
2495,458706,46.8,30.83
2496,458707,46.8,30.83
2497,458708,46.8,30.83
2498,458709,46.8,30.83
2499,458710,46.8,30.83
2500,458711,46.8,30.83
2501,458712,46.8,30.83
2502,458713,46.8,30.83
2503,458714,46.8,30.83
2504,458715,46.8,30.83
2505,458716,46.8,30.83
2506,458717,46.8,30.83
2507,458718,46.8,30.83
2508,458719,46.8,30.83
2509,470691,1799.64,1431.6
2510,470692,330380.65,245505.76
2511,470693,7233.18,5753.96
2512,470694,537.17,427.33
2513,470695,537.17,427.33
2514,470696,537.17,427.33
2515,470697,537.17,427.33
2516,470698,537.17,427.33
2517,470699,537.17,427.33
2518,470700,537.17,427.33
2519,470701,537.17,427.33
2520,470702,537.17,427.33
2521,470703,537.17,427.33
2522,470704,537.17,427.33
2523,470705,537.17,427.33
2524,470706,537.17,427.33
